Empresa,Dimensão,Questão,Nível Selecionado,Pontuação
Exemplo Corp,Estratégia e Liderança,Visão Estratégica para Transformação Digital,3,3
Exemplo Corp,Estratégia e Liderança,Comprometimento da Liderança,4,4
Exemplo Corp,Estratégia e Liderança,Governança de Dados e IA,2,2
Exemplo Corp,Cultura e Pessoas,Cultura de Inovação,3,3
Exemplo Corp,Cultura e Pessoas,Competências em IA e Dados,2,2
Exemplo Corp,Cultura e Pessoas,Programas de Capacitação,2,2
Exemplo Corp,Processos e Operações,Digitalização de Processos,3,3
Exemplo Corp,Processos e Operações,Automação,2,2
Exemplo Corp,Processos e Operações,Integração de Sistemas,3,3
Exemplo Corp,Tecnologia e Infraestrutura,Infraestrutura de TI,3,3
Exemplo Corp,Tecnologia e Infraestrutura,Plataformas de IA,1,1
Exemplo Corp,Tecnologia e Infraestrutura,Segurança Cibernética,3,3
Exemplo Corp,Dados e Analytics,Qualidade dos Dados,2,2
Exemplo Corp,Dados e Analytics,Uso de Analytics,2,2
Exemplo Corp,Dados e Analytics,Cultura Data-Driven,2,2

